anno cens,Com_Den,"Sottosistemi territoriali ",Località - centri,Fr_pop res
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),S Pietro,267
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Bernardo (https://www.notion.so/San-Bernardo-026e9f633635428bae3ee14694a74cd8?pvs=21),S Bernardo,229
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),Dalo,109
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),S Giacomo,140
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant'Antonio di Albareda (https://www.notion.so/Sant-Antonio-di-Albareda-b618e2cef2014c2f83e17847b229f44e?pvs=21),S Antonio,217
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sommarovina (https://www.notion.so/Sommarovina-0baad02d2acf40fea6532e11d2ad5f28?pvs=21),Sommarovina,185
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia,258
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),Le Corti,383
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),Verceja,437
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Chete,241
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Villa di Chiavenna,994
