Comuni;Sottosistema;Denominazione;Codice localita;slm;Reti servizi presenti;Accessibilità principale;Viabilità interna;res 2022 - da verificare
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Alpe Borghetto;2;1895;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Valle Dentro / Borzi;3;1746;;sentiero;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Alpe Piani;3;2066;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Alpe Laghetti;3;;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);Alpe Marci;3;1879;RE, RI;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;Ferre_1981;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;Suretta_1981;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;Laghi / Lago Montespluga_1951_1981;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;Pizzo Tambo_1951;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;Pizzo di Emet_1951;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21);case sparse Isola_1951;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21);case sparse Pianazzo_1951;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;case sparse MA_1991_01;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;case sparse MA_1991_02;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;case sparse MA_1991_03;;;;;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);;case sparse MA_1991_04;;;;;;
