Comuni,Anno cens,Com_Den,"Sottosistemi territoriali ",Località,Località _1807,Fr_Pop res,Loc_Cod,Fr_Tipo,concat
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Paiedo,176,1 - centro,frazione,Paiedo_1951
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Nogaredo,17,1 - centro,frazione,Nogaredo
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Montenuovo,28,1 - centro,frazione,Montenuovo
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Monastero,63,1 - centro,frazione,Monastero
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Fontanedo,25,1 - centro,frazione,Fontanedo
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Era,44,1 - centro,frazione,Era / S Andrea
Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Samolaco,Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),,Casenda,22,1 - centro,frazione,Casenda
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Vho (https://www.notion.so/Vho-641e79f2edbe4983bf1cb9a129aab7ca?pvs=21),Vho (https://www.notion.so/Vho-69552968502b434a89e33666bdebbe00?pvs=21),Vho,143,1 - centro,frazione,
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-feb68d992d62434f93bc4892f31eabc9?pvs=21),S Giacomo,234,1 - centro,frazione,
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21),Olmo (https://www.notion.so/Olmo-6f74852fc0c54fef96da140f7738b8f0?pvs=21),Olmo,221,1 - centro,frazione,
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,San Bernardo (https://www.notion.so/San-Bernardo-026e9f633635428bae3ee14694a74cd8?pvs=21),San Bernardo (https://www.notion.so/San-Bernardo-28dc652fbed44b289167967f4fa7495e?pvs=21),San Bernardo,230,1 - centro,frazione,
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21),Lirone (https://www.notion.so/Lirone-2bc1895b4a674102a583d2e05d0e4aee?pvs=21),Lirone,109,1 - centro,frazione,
Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Verceia,Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),,Villa,80,1 - centro,frazione,Villa
Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Verceia,Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),,Vico,80,1 - centro,frazione,Vico
Verceia (https://www.notion.so/Verceia-f622dc3b55e7451abebca40085f23e45?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Verceia,Verceia (https://www.notion.so/Verceia-11c7c49d99b1804c8f68fe6a53144479?pvs=21),,Piana,290,1 - centro,frazione,Piana_np - 1807
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,S Sebastiano,158,1 - centro,frazione,S Sebastiano
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,S Barnaba,23,1 - centro,frazione,S Barnaba
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Ponteggia,158,1 - centro,frazione,Ponteggia
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Giavera,65,1 - centro,frazione,Giavera
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Chete,85,1 - centro,frazione,Chete
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Canete,98,1 - centro,frazione,Canete
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Ca Scattoni,199,1 - centro,frazione,Ca Scattoni
Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Villa di Chiavenna,Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),,Ca Foratti,35,1 - centro,frazione,Ca Foratti
